,Input Name,Input Shape,Output Name,Output Shape,abs Similarity,rel Similarity,Max Diff,Max Diff Pos
ResNet101-DUC-12,['data'],"([1, 3, 800, 800],)",['seg_loss'],"([1, 19, 160000],)",[1.0],[1.0],[3.2944172e-09],"[(0, 2, 90114)]"
age_googlenet,['input'],"([1, 3, 224, 224],)",['loss3/loss3_Y'],"([1, 8],)",[1.0],[0.25],[7.8082085e-06],"[(0, 4)]"
arcfaceresnet100-8,['data'],"([1, 3, 112, 112],)",['fc1'],"([1, 512],)",[0.917969],[0.027344],[0.00016629696],"[(0, 222)]"
emotion-ferplus-8,['Input3'],"([1, 1, 64, 64],)",['Plus692_Output_0'],"([1, 8],)",[1.0],[1.0],[4.7683716e-07],"[(0, 0)]"
fcn-resnet50-12,['input'],"([1, 3, 416, 416],)","['out', 'aux']","([1, 21, 416, 416], [1, 21, 416, 416])","[8.6e-05, 0.208424]","[1.5e-05, 0.037039]","[5.8506455, 0.0037105083]","[(0, 0, 188, 156), (0, 20, 19, 100)]"
gender_googlenet,['input'],"([1, 3, 224, 224],)",['loss3/loss3_Y'],"([1, 2],)",[1.0],[0.0],[5.543232e-06],"[(0, 1)]"
retinanet-9,['input'],"([1, 3, 480, 640],)","['output1', 'output2', 'output3', 'output4', 'output5', 'output6', 'output7', 'output8', 'output9', 'output10']","([1, 720, 60, 80], [1, 720, 30, 40], [1, 720, 15, 20], [1, 720, 8, 10], [1, 720, 4, 5], [1, 36, 60, 80], [1, 36, 30, 40], [1, 36, 15, 20], [1, 36, 8, 10], [1, 36, 4, 5])","[1.0, 1.0, 1.0, 1.0, 1.0, 0.967182, 0.959745, 0.996481, 0.998264, 0.995833]","[0.051544, 0.067064, 0.058074, 0.055469, 0.009375, 0.016823, 0.014931, 0.031389, 0.030208, 0.022222]","[8.46386e-06, 1.0341406e-05, 7.0035458e-06, 5.1558018e-05, 6.824732e-05, 0.0002860576, 0.00030198693, 0.0001511965, 0.00010967255, 0.00011655688]","[(0, 46, 59, 32), (0, 80, 29, 39), (0, 506, 14, 9), (0, 539, 3, 4), (0, 299, 2, 2), (0, 31, 17, 57), (0, 19, 8, 36), (0, 10, 9, 9), (0, 15, 5, 4), (0, 34, 2, 3)]"
version-RFB-320,['input'],"([1, 3, 240, 320],)","['scores', 'boxes']","([1, 4420, 2], [1, 4420, 4])","[1.0, 1.0]","[1.0, 0.999943]","[1.7881393e-07, 1.1920929e-07]","[(0, 3290, 0), (0, 358, 2)]"
version-RFB-640,['input'],"([1, 3, 480, 640],)","['scores', 'boxes']","([1, 17640, 2], [1, 17640, 4])","[1.0, 1.0]","[0.880357, 0.929195]","[5.173683e-05, 6.681681e-05]","[(0, 17441, 0), (0, 17528, 3)]"
vgg_ilsvrc_16_age_chalearn_iccv2015,['input'],"([1, 3, 224, 224],)",['prob_Y'],"([1, 101],)",[1.0],[1.0],[1.8626451e-08],"[(0, 20)]"
vgg_ilsvrc_16_age_imdb_wiki,['input'],"([1, 3, 224, 224],)",['prob_Y'],"([1, 101],)",[1.0],[1.0],[1.4901161e-08],"[(0, 22)]"
